planet_num,planet_name,unlock_price,distance,planet_worth_num
1,Balor,100.0,6.6,1.0
2,Drasta,200.0,6.7,1.2000000000000002
3,Anadius,500.0,6.85,1.5
4,Dholen,1250.0,7.0,2.4000000000000004
5,Verr,5000.0,7.15,2.8000000000000003
6,Newton,9000.0,7.3,4.0
7,Widow,15000.0,7.45,2.8000000000000003
8,Acheron,25000.0,7.6,5.2
9,Yangtze,40000.0,7.75,9.8
10,Solveig,75000.0,7.9,11.700000000000001
11,Imir,150000.0,8.05,17.0
12,Relic,250000.0,8.2,11.8
13,Nith,400000.0,8.35,32.2
14,Batalla,800000.0,8.5,16.2
15,Micah,1500000.0,8.65,55.5
16,Pranas,3000000.0,8.8,75.0
17,Castellus,6000000.0,8.95,49.6
18,Gorgon,12000000.0,9.1,128.8
19,Parnitha,25000000.0,9.25,154.5
20,Orisoni,50000000.0,9.4,286.0
21,Theseus,100000000.0,9.55,340.0
22,Zelene,200000000.0,9.7,244.2
23,Han,400000000.0,9.85,550.5
24,Strennus,800000000.0,10.0,613.0
25,Osun,1600000000.0,10.15,650.2
26,Ploitari,3200000000.0,10.3,880.0
27,Elysta,6400000000.0,10.45,1600.0
28,Tikkun,12500000000.0,10.6,1770.5
29,Satent,25000000000.0,10.75,2392.0
30,Urla Rast,50000000000.0,10.9,3166.0
31,Vular,100000000000.0,11.05,4790.0
32,Nibiru,250000000000.0,11.2,5320.0
33,Xena,600000000000.0,11.35,7800.0
34,Rupert,1500000000000.0,11.5,6890.0
35,Pax,4000000000000.0,11.65,8920.0
36,Ivyra,10000000000000.0,11.8,17500.0
37,Utritis,25000000000000.0,11.95,22000.0
38,Dosie,62000000000000.0,12.1,23900.0
39,Zulu,160000000000000.0,12.25,40000.0
40,Unicae,400000000000000.0,12.4,50400.0
41,Dune,1000000000000000.0,12.55,41480.0
42,Naraka,2500000000000000.0,12.7,92000.0
43,Daedalus,6200000000000000.0,12.85,97450.0
44,Clovis,1.5e+16,13.0,153500.0
45,Zero,4e+16,13.15,215000.0
46,Sotomi,1e+17,13.3,288750.0
47,Remidian,2.5e+17,13.45,342800.0
48,Muse,6e+17,13.6,510000.0
49,Arabis,1.5e+18,13.75,880000.0
50,Vesna,3.8e+18,13.9,836000.0
51,Chandra,1e+19,14.05,1250000.0
52,Vega,2.5e+19,14.2,1516750.0
53,Crius,6e+19,14.35,1707500.0
54,Singhana,1.5e+20,14.5,3200000.0
55,Zumbia,3.6e+20,14.65,3390000.0
56,Elysium,9e+20,14.8,5604000.0
57,Nyota,2.6e+21,14.95,9000000.0
58,Doral,7.5e+21,15.1,10480000.0
59,Nikara,2.1e+22,15.25,19975000.0
60,Limbo,5.9e+22,15.4,28000000.0
61,Bob,1.7e+23,15.55,46600000.0
62,Midas,4.6e+23,15.7,50940000.00000001
63,Antigone,1.3e+24,15.85,90000000.0
64,Hecate,3.9e+24,16.0,127000000.0
65,Sterop,1.0999999999999998e+25,16.15,199800000.0
66,Lavinia,3.3e+25,16.3,300000000.0
67,Ren,9.5e+25,16.45,338000000.0
68,Gorgon,2.7000000000000004e+26,16.6,671200000.0
69,Pontus,8e+26,16.75,940000000.0
70,Leto,2.4000000000000005e+27,16.9,1100000000.0
71,Laconia,6.920000000000001e+27,17.05,1420000000.0
72,Awohali,2.08e+28,17.2,3037000000.0
73,Pegasi,6.23e+28,17.35,4300000000.0
74,Typhon,1.78e+29,17.5,9780000000.0
75,Surtur,5.16e+29,17.65,12930000000.0
76,Vesta,1.8099999999999998e+30,17.8,18000000000.0
