planet_num,planet_name,status,mining_lvl,speed_lvl,cargo_lvl
1,Balor,Unlocked,3,1,2
2,Drasta,Unlocked,2,1,1
3,Anadius,Unlocked,1,1,1
4,Dholen,Locked,0,0,0
5,Verr,Locked,0,0,0
6,Newton,Locked,0,0,0
7,Widow,Locked,0,0,0
8,Acheron,Locked,0,0,0
9,Yangtze,Locked,0,0,0
10,Solveig,Locked,0,0,0
11,Imir,Locked,0,0,0
12,Relic,Locked,0,0,0
13,Nith,Locked,0,0,0
14,Batalla,Locked,0,0,0
15,Micah,Locked,0,0,0
16,Pranas,Locked,0,0,0
17,Castellus,Locked,0,0,0
18,Gorgon,Locked,0,0,0
19,Parnitha,Locked,0,0,0
20,Orisoni,Locked,0,0,0
21,Theseus,Locked,0,0,0
22,Zelene,Locked,0,0,0
23,Han,Locked,0,0,0
24,Strennus,Locked,0,0,0
25,Osun,Locked,0,0,0
26,Ploitari,Locked,0,0,0
27,Elysta,Locked,0,0,0
28,Tikkun,Locked,0,0,0
29,Satent,Locked,0,0,0
30,Urla Rast,Locked,0,0,0
31,Vular,Locked,0,0,0
32,Nibiru,Locked,0,0,0
33,Xena,Locked,0,0,0
34,Rupert,Locked,0,0,0
35,Pax,Locked,0,0,0
36,Ivyra,Locked,0,0,0
37,Utritis,Locked,0,0,0
38,Dosie,Locked,0,0,0
39,Zulu,Locked,0,0,0
40,Unicae,Locked,0,0,0
41,Dune,Locked,0,0,0
42,Naraka,Locked,0,0,0
43,Daedalus,Locked,0,0,0
44,Clovis,Locked,0,0,0
45,Zero,Locked,0,0,0
46,Sotomi,Locked,0,0,0
47,Remidian,Locked,0,0,0
48,Muse,Locked,0,0,0
49,Arabis,Locked,0,0,0
50,Vesna,Locked,0,0,0
51,Chandra,Locked,0,0,0
52,Vega,Locked,0,0,0
53,Crius,Locked,0,0,0
54,Singhana,Locked,0,0,0
55,Zumbia,Locked,0,0,0
56,Elysium,Locked,0,0,0
57,Nyota,Locked,0,0,0
58,Doral,Locked,0,0,0
59,Nikara,Locked,0,0,0
60,Limbo,Locked,0,0,0
61,Bob,Locked,0,0,0
62,Midas,Locked,0,0,0
63,Antigone,Locked,0,0,0
64,Hecate,Locked,0,0,0
65,Sterop,Locked,0,0,0
66,Lavinia,Locked,0,0,0
67,Ren,Locked,0,0,0
68,Gorgon,Locked,0,0,0
69,Pontus,Locked,0,0,0
70,Leto,Locked,0,0,0
71,Laconia,Locked,0,0,0
72,Awohali,Locked,0,0,0
73,Pegasi,Locked,0,0,0
74,Typhon,Locked,0,0,0
75,Surtur,Locked,0,0,0
76,Vesta,Locked,0,0,0
