planet_num,planet_name,status,mining_lvl,speed_lvl,cargo_lvl,unlock_price,distance,planet_worth_num,mining_rate,ship_speed,cargo,trip_time,efficiency,deposit
1,Balor,Unlocked,3,1,2,100.0,6.6,1.0,0.518,1.0,7,13.2,0.9768,6.8376
2,Drasta,Unlocked,2,1,1,200.0,6.7,1.2000000000000002,0.367,1.0,5,13.4,0.98356,4.9178
3,Anadius,Unlocked,1,1,1,500.0,6.85,1.5,0.25,1.0,5,13.7,0.6849999999999999,3.425
4,Dholen,Locked,0,0,0,1250.0,7.0,2.4000000000000004,0.0,0.0,0,0.0,0.0,0.0
5,Verr,Locked,0,0,0,5000.0,7.15,2.8000000000000003,0.0,0.0,0,0.0,0.0,0.0
6,Newton,Locked,0,0,0,9000.0,7.3,4.0,0.0,0.0,0,0.0,0.0,0.0
7,Widow,Locked,0,0,0,15000.0,7.45,2.8000000000000003,0.0,0.0,0,0.0,0.0,0.0
8,Acheron,Locked,0,0,0,25000.0,7.6,5.2,0.0,0.0,0,0.0,0.0,0.0
9,Yangtze,Locked,0,0,0,40000.0,7.75,9.8,0.0,0.0,0,0.0,0.0,0.0
10,Solveig,Locked,0,0,0,75000.0,7.9,11.7,0.0,0.0,0,0.0,0.0,0.0
11,Imir,Locked,0,0,0,150000.0,8.05,17.0,0.0,0.0,0,0.0,0.0,0.0
12,Relic,Locked,0,0,0,250000.0,8.2,11.8,0.0,0.0,0,0.0,0.0,0.0
13,Nith,Locked,0,0,0,400000.0,8.35,32.2,0.0,0.0,0,0.0,0.0,0.0
14,Batalla,Locked,0,0,0,800000.0,8.5,16.2,0.0,0.0,0,0.0,0.0,0.0
15,Micah,Locked,0,0,0,1500000.0,8.65,55.5,0.0,0.0,0,0.0,0.0,0.0
16,Pranas,Locked,0,0,0,3000000.0,8.8,75.0,0.0,0.0,0,0.0,0.0,0.0
17,Castellus,Locked,0,0,0,6000000.0,8.95,49.6,0.0,0.0,0,0.0,0.0,0.0
18,Gorgon,Locked,0,0,0,12000000.0,9.1,128.8,0.0,0.0,0,0.0,0.0,0.0
19,Parnitha,Locked,0,0,0,25000000.0,9.25,154.5,0.0,0.0,0,0.0,0.0,0.0
20,Orisoni,Locked,0,0,0,50000000.0,9.4,286.0,0.0,0.0,0,0.0,0.0,0.0
21,Theseus,Locked,0,0,0,100000000.0,9.55,340.0,0.0,0.0,0,0.0,0.0,0.0
