Ore	Symbol	Stars	 Base Amount 
Copper	C	0	 $1.00 
Iron	Fe	0	 $2.00 
Lead	Pb	0	 $4.00 
Silicon	Si	0	 $8.00 
Aluminium	Al	0	 $17.00 
Silver	Ag	0	 $36.00 
Gold	Au	0	 $75.00 
Diamond	D	0	 $160.00 
Platinum	Pt	0	 $340.00 
Titanium	Ti	0	 $730.00 
Iridium	Ir	0	 $1,600.00 
Palladium	Pd	0	 $3,500.00 
Osmium	Os	0	 $7,800.00 
Rhodium	Rh	0	 $17,500.00 
Inerton	In	0	 $40,000.00 
Quadium	Qd	0	 $92,000.00 
Scrith	Sc	0	 $215,000.00 
Uru	U	0	 $510,000.00 
Vibranium	Vb	0	 $1,250,000.00 
Aether	Ae	0	 $3,200,000.00 
Viterium	Vi	0	 $9,000,000.00 
Xynium	Xy	0	 $28,000,000.00 
Quolium	Qo	0	 $90,000,000.00 
Luterium	Lu	0	 $300,000,000.00 
Wraith	Wr	0	 $1,100,000,000.00 
Aqualite	Aq	0	 $4,300,000,000.00 
Opalite	Op	0	 $18,000,000,000.00 
